"Name","Obs","Tel","amaj","bmin","Rangle","RAJ2000","DEJ2000","Freq0","DM","RAJ2000.1","Width","S.N","zHost","SimbadName"
"FRB180128.0",2458146.54141918,"ASKAP",20,15,0,209,-6.71666666666667,1297,441.4,209,2.9,12.4,NA,"NAME FRB 180128.0"
"FRB180119",2458138.01702253,"ASKAP",8,8,0,52.325,-12.7333333333333,1297,402.7,52.325,2.7,15.9,NA,"FRB180119"
"FRB180110",2458128.8156824,"ASKAP",10.5,7,0,328.25,-35.45,1297,715.7,328.25,3.2,35.6,NA,"FRB180110"
"FRB171216",2458104.24943081,"ASKAP",15,10,0,52,-57.0666666666667,1297,203.1,52,1.9,8,NA,"FRB171216"
"FRB171213",2458101.09907948,"ASKAP",30,20,0,54.75,-10.9333333333333,1297,158.6,54.75,1.5,25.1,NA,"FRB171213"
"FRB171209",2458097.35721644,"Parkes",7.5,7.5,0,237.604166666667,-46.1722222222222,1352,1457.4,237.604166666667,2.5,40,NA,"FRB171209"
"FRB171116",2458074.12469103,"ASKAP",10,10,0,52.75,-17.2333333333333,1297,618.5,52.75,3.2,11.8,NA,"FRB171116"
"FRB171020",2458046.93609488,"ASKAP",45,40,0,333.75,-19.6666666666667,1297,114.1,333.75,3.2,19.5,NA,"FRB171020"
"FRB171019",2458046.06018631,"ASKAP",7.5,7,0,334.375,-8.66666666666667,1297,460.8,334.375,5.4,23.4,NA,"FRB171019"
"FRB171004",2458030.6414265,"ASKAP",12,10,0,179.4,-11.9,1297,304,179.4,2,10.9,NA,"FRB171004"
"FRB171003",2458029.67180302,"ASKAP",20,10,0,187.375,-14.1166666666667,1297,463.2,187.375,2,13.8,NA,"FRB171003"
"FRB170922",2458018.97469213,"UTMOST",240,0.154,90,322.460875,-7.99458055555555,835,1111,322.460875,34.1,20,NA,"FRB170922"
"FRB170906",2458003.04648713,"ASKAP",10,6,0,329.95,-19.95,1297,390.3,329.95,2.5,17,NA,"FRB170906"
"FRB170827",2457993.18076389,"UTMOST",NA,NA,0,12.32775,-65.5506388888889,835,176.8,12.32775,0.4,110,NA,"FRB170827"
"FRB170712",2457947.05714576,"ASKAP",15,10,0,339,-60.95,1297,312.79,339,1.4,12.7,NA,"FRB170712"
"FRB170707",2457941.76220317,"ASKAP",30,20,0,44.75,-57.2666666666667,1297,235.2,44.75,3.5,9.5,NA,"FRB170707"
"FRB170606",2457910.9190625,"Pushchino",15,15,0,83.5,41.75,111,247,83.5,3300,8.3,NA,"FRB170606"
"FRB170428",2457872.25179051,"ASKAP",30,20,0,326.75,-41.85,1320,991.7,326.75,4.4,10.5,NA,"FRB170428"
"FRB170416",2457860.46612036,"ASKAP",15,9,0,333.25,-55.0333333333333,1320,523.2,333.25,5,13,NA,"FRB170416"
"FRB170107",2457761.33689976,"ASKAP",10.5,10,0,170.825,-5,1320,609.5,170.825,2.4,16,NA,"FRB170107"
"FRB161202",2457725.05895833,"Pushchino",NA,NA,NA,356,40.8,111,291,356,810,7.1,NA," "
"FRB160920",2457651.62896991,"Pushchino",15,15,0,83.5,41.75,111,1767,83.5,5000,9.1,NA," "
"FRB160608",2457547.66181815,"UTMOST",252,0.175,0,114.175,-40.7977777777778,843,682,114.175,9,12,NA,"FRB160608"
"FRB160410",2457488.85670926,"UTMOST",84,0.041,0,130.354166666667,6.08472222222222,843,278,130.354166666667,4,13,NA,"FRB160410"
"FRB160317",2457464.8754228,"UTMOST",84,0.041,0,118.445833333333,-29.6086111111111,843,1165,118.445833333333,21,13,NA,"FRB160317"
"FRB160206",2457424.93530093,"Pushchino",NA,NA,NA,15.25,41.63,111,1262,15.25,1590,7.9,NA," "
"FRB160102",2457389.8532335,"Parkes",7.5,7.5,0,339.704166666667,-30.1805555555556,1352,2596.1,339.704166666667,3.4,16,NA,"FRB160102"
"FRB151230",2457387.17762182,"Parkes",7.5,7.5,0,145.208333333333,-3.45138888888889,1352,960.4,145.208333333333,4.4,17,NA,"FRB151230"
"FRB151206",2457362.76241641,"Parkes",7.5,7.5,0,290.354166666667,-4.13166666666667,1352,1909.8,290.354166666667,3,10,NA,"FRB151206"
"FRB151125",2457352.15458333,"Pushchino",NA,NA,NA,22.75,30.98,111,273,22.75,1680,8.5,NA," "
"FRB151018",2457313.54569444,"Pushchino",15,15,0,80.25,33.1,111,570,80.25,2500,6.2,NA," "
"FRB150807",2457242.24578507,"Parkes",7.5,7.5,0,340.629166666667,-55.0783333333333,1352,266.5,340.629166666667,0.35,0,NA,"FRB150807"
"FRB150610",2457183.72707634,"Parkes",7.5,7.5,0,161.108333333333,-40.0897222222222,1352,1593.9,161.108333333333,2,18,NA,"FRB150610"
"FRB150418",2457130.6868826,"Parkes",7.5,7.5,0,109.145833333333,-19.0111111111111,1352,776.2,109.145833333333,0.8,39,NA,"FRB150418"
"FRB150215",2457069.36228836,"Parkes",7.5,7.5,0,274.3625,-4.90416666666667,1352,1105.6,274.3625,2.88,19,NA,"FRB150215"
"FRB141216",2457008.04402778,"Pushchino",NA,NA,NA,3.5,41.64,111,545,3.5,870,7.6,NA," "
"FRB141113",2456974.82147245,"arecibo",1.75,1.75,0,93.2504166666667,18.7864444444444,1375,400.3,93.2504166666667,2,8.4,NA,"FRB141113"
"FRB140514",2456792.21818356,"Parkes",7.5,7.5,0,338.525,-12.3127777777778,1352,562.7,338.525,2.8,16,NA,"FRB140514"
"FRB140212",2456700.93835648,"Pushchino",NA,NA,NA,22.75,30.54,111,910,22.75,390,9.2,NA," "
"FRB131104",2456601.25290741,"Parkes",7.5,7.5,0,101.041666666667,-51.2777777777778,1352,779,101.041666666667,2.08,30,NA,"FRB131104"
"FRB131030",2456596.17586806,"Pushchino",NA,NA,NA,6.25,39.98,111,203,6.25,530,10.1,NA," "
"FRB130729",2456502.87628692,"Parkes",7.5,7.5,0,205.3375,-5.99527777777778,1352,861,205.3375,15.61,14,NA,"FRB130729"
"FRB130628",2456471.66527984,"Parkes",7.5,7.5,0,135.758333333333,3.43777777777778,1352,469.88,135.758333333333,0.64,29,NA,"FRB130628"
"FRB130626",2456470.12221957,"Parkes",7.5,7.5,0,246.775,-7.46333333333333,1352,952.4,246.775,1.98,21,NA,"FRB130626"
"FRB121102",2456233.77492181,"arecibo",1.75,1.75,0,83.0375,33.0869444444444,1375,557,83.0375,3,14,0.19273,"FRB121102"
"FRB121029",2456230.17113426,"Pushchino",NA,NA,NA,3,42.06,111,732,3,320,7.3,NA," "
"FRB121002",2456203.04813005,"Parkes",7.5,7.5,0,273.695833333333,-85.1980555555555,1352,1629.18,273.695833333333,5.44,16,NA,"FRB121002"
"FRB120127",2455953.84122367,"Parkes",7.5,7.5,0,348.775,-18.4272222222222,1352,553.3,348.775,1.1,11,NA,"FRB120127"
"FRB110703",2455746.29144221,"Parkes",7.5,7.5,0,352.7125,-2.87333333333333,1352,1103.6,352.7125,4.3,16,NA,"FRB110703"
"FRB110626",2455739.39811895,"Parkes",7.5,7.5,0,315.929166666667,-44.7386111111111,1352,723,315.929166666667,1.4,11,NA,"FRB110626"
"FRB110523",2455705.12939468,"GBT",8,8,0,326.3,-0.160277777777778,800,623.3,326.3,1.73,42,NA,"FRB110523"
"FRB110220",2455612.58041778,"Parkes",7.5,7.5,0,338.658333333333,-12.3958333333333,1352,944.38,338.658333333333,5.6,49,NA,"FRB110220"
"FRB110214",2455606.80150872,"Parkes",7.5,7.5,0,20.3208333333333,-49.7863888888889,1352,168.9,20.3208333333333,1.9,13,NA,"FRB110214"
"FRB090625",2455008.41240022,"Parkes",7.5,7.5,0,46.9458333333333,-29.9266666666667,1352,899.55,46.9458333333333,1.92,30,NA,"FRB090625"
"FRB010724",2452115.32640845,"Parkes",7.5,7.5,0,19.525,-75.205,1374,375,19.525,5,23,NA,"FRB010724"
"FRB010621",2452082.04318633,"Parkes",7.5,7.5,0,283.020833333333,-8.49305555555555,1374,745,283.020833333333,7,16.3,NA,"FRB010621"
"FRB010312",2451980.96305532,"Parkes",7.5,7.5,0,81.72875,-64.9386666666667,1374,1187,81.72875,24.3,11,NA,"FRB010312"
"FRB010305",2451974.02032431,"Parkes",7.5,7.5,0,74.33125,-52.6068522222222,1374,350,74.33125,9,10.2,NA,"FRB010305"
"FRB010125",2451934.52032164,"Parkes",7.5,7.5,0,286.720833333333,-40.6205555555555,1372.5,790,286.720833333333,9.4,17,NA,"FRB010125"
