"recno","Trig","Np","X_RA","X_DE"
80,704,1,292.45,-63.52
50,516,2,303.62,-57.08
220,1646,2,312.9,-55.63
69,630,1,313.27,-51.3
222,1655,1,316,-46.07
453,2693,1,345.72,-61.12
270,2102,1,355.62,-55.32
147,1279,2,335.4,-53.8
268,2090,3,332.97,-52.02
140,1204,3,337,-50.42
107,1051,1,340.32,-49.47
597,3119,2,340.5,-46.12
440,2640,4,349,-44.13
519,2940,4,359.4,-47.37
191,1467,1,355.57,-45.15
530,2977,1,341.65,-41.37
340,2346,7,349.17,-37.52
601,3130,1,334.25,-45.2
572,3075,4,334.25,-42.12
164,1384,7,318.77,-40.43
100,1008,5,339.07,-36.17
197,1515,1,337.9,-34.67
271,2103,1,335.97,-31.47
236,1709,2,296.4,-55.98
377,2448,1,287.65,-55.32
312,2232,3,284.35,-52.38
198,1518,2,293.7,-48.68
263,2056,1,306.45,-48.32
7,160,1,301.3,-45.53
56,550,1,307.97,-46.03
382,2453,2,298.57,-40.78
298,2191,1,282.82,-44.52
215,1634,1,289.65,-41.7
318,2268,1,273.52,-45.1
415,2569,2,280.1,-41.55
582,3093,6,280.35,-40.92
365,2429,2,283.07,-39.23
319,2271,4,294.87,-34.07
91,803,4,298.27,-30.23
555,3039,5,299.57,-31.23
356,2392,2,316.22,-31.42
156,1318,4,322.37,-29.27
228,1679,1,317.8,-27.32
491,2848,1,303.12,-21.95
133,1159,1,294.87,-19.4
548,3027,1,316.05,-16.13
59,563,1,315.52,-14.28
33,404,4,322.22,-9.87
463,2727,3,317.8,-7.42
